GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Task-Manager-App,edu.westga.comp4420.task_manager,Main,27,0,0,0,9,0,3,0,3,0
Task-Manager-App,edu.westga.comp4420.task_manager.model,Task,0,88,0,10,0,30,0,15,0,10
Task-Manager-App,edu.westga.comp4420.task_manager.view.codebehind,MainWindow.new TableCell() {...},29,0,6,0,8,0,5,0,2,0
Task-Manager-App,edu.westga.comp4420.task_manager.view.codebehind,AddTaskWindow,103,0,8,0,31,0,11,0,7,0
Task-Manager-App,edu.westga.comp4420.task_manager.view.codebehind,MainWindow,265,0,6,0,76,0,11,0,8,0
Task-Manager-App,edu.westga.comp4420.task_manager.view.codebehind,EditTaskWindow,102,0,8,0,35,0,11,0,7,0
